site_set,condition,gc_class,n_sites_per_gene,level,base_level,d_A_n_genes,d_A_mean,d_A_median,d_A_sd,d_A_q25,d_A_q75,d_A_frac_improved
private,add_a1.0,gc_neutral,16.38841759162111,42.81598342738737,40.02699567120542,393,2.7889877561819416,2.35249042145594,11.122314545244729,-3.999999999999997,9.523809523809526,0.5750636132315522
private,add_a1.0_L24,gc_up,22.761998983010287,42.82954328830128,41.27967564866709,392,1.549867639634187,1.840988206876954,11.727000488016316,-4.469696969696967,8.395118230358502,0.576530612244898
private,add_a1.0_L24,gc_down,15.289564260418532,32.210521305876725,33.97562840872661,394,-1.765107102849883,-0.7390942390942392,11.086463528018262,-8.711484593837532,4.962121212121213,0.4441624365482233
private,add_a1.0_L24,gc_neutral,16.41195676183113,41.170310172371046,40.02699567120542,393,1.1433145011656332,1.25,10.224250493114583,-4.5,6.666666666666664,0.5470737913486005
private,add_a2.0,gc_up,22.901858997367796,57.309176442328045,41.27967564866709,392,16.02950079366096,16.095631234950115,14.7654277073746,6.766217735279893,23.878199006875484,0.8775510204081632
private,add_a2.0,gc_down,15.185446142355689,21.4987478469668,33.97562840872661,394,-12.476880561759808,-12.0,12.784833456559747,-21.240371148459385,-4.419055944055945,0.149746192893401
private,add_a2.0,gc_neutral,16.431569554119804,43.89876146905438,40.02699567120542,393,3.8717657978489655,3.333333333333336,14.002309528452985,-4.166666666666664,11.80952380952381,0.6005089058524173
private,add_a2.0_L24,gc_up,22.767626479466934,46.09014899419899,41.27967564866709,392,4.810473345531905,3.880650721827198,12.355389274956494,-1.5268215110295031,11.088436461907024,0.6811224489795918
private,add_a2.0_L24,gc_down,15.241515394153586,30.82860184782488,33.97562840872661,394,-3.1470265609017334,-3.243506493506493,11.865310301947916,-10.000000000000002,4.013230127360562,0.3629441624365482
private,add_a2.0_L24,gc_neutral,16.407364355354304,42.105881884205104,40.02699567120542,393,2.078886212999681,1.312546071059998,11.236284211912206,-3.6111111111111134,8.373057826275748,0.5572519083969466
private,add_a3.0,gc_up,22.936340251038747,60.57267106168096,41.27967564866709,392,19.29299541301387,18.83033968719453,18.135035483068293,8.932422969187671,28.91671486408329,0.8826530612244898
private,add_a3.0,gc_down,15.136408357137002,18.89807674233755,33.97562840872661,394,-15.077551666389056,-14.779408996800305,14.441608034937705,-25.793893670828652,-4.6687023883820205,0.1370558375634517
private,add_a3.0,gc_neutral,16.440539004546544,45.20590944978705,40.02699567120542,393,5.178913778581635,4.404761904761905,16.184561261295304,-4.340080953288499,13.81773399014778,0.638676844783715
private,add_a3.0_L24,gc_up,22.78850543300921,48.916871893738005,41.27967564866709,392,7.6371962450709105,6.666666666666661,15.06128284963926,0.0,15.189255189255192,0.7423469387755102
private,add_a3.0_L24,gc_down,15.256022481148108,28.85098610372759,33.97562840872661,394,-5.124642304999019,-5.0565755382828605,11.964999265933027,-12.66666666666667,1.666666666666667,0.3071065989847715
private,add_a3.0_L24,gc_neutral,16.430433824969004,43.68855307681746,40.02699567120542,393,3.6615574056120455,2.6666666666666714,11.85320650808149,-3.333333333333336,9.487179487179487,0.6259541984732825
private,add_a4.0,gc_up,22.99345210903,62.38128453184419,41.27967564866709,392,21.10160888317711,20.827718175544263,16.743197974399795,10.786369641409962,30.771858946007555,0.9260204081632653
private,add_a4.0,gc_down,15.13829371354497,16.1113352474885,33.97562840872661,394,-17.86429316123811,-17.664000250956775,15.763641309981864,-28.68259803921568,-6.933823529411766,0.1091370558375634
private,add_a4.0,gc_neutral,16.47317471054908,45.75863725752574,40.02699567120542,393,5.731641586320319,5.0,17.133000889894504,-4.50593395252838,13.57142857142857,0.6539440203562341
private,add_a4.0_L24,gc_up,22.839291696578133,51.991355498681344,41.27967564866709,392,10.71167985001426,9.97902097902098,16.379608276929265,3.004972796727888,17.76486591986219,0.8239795918367347
private,add_a4.0_L24,gc_down,15.222496027144269,26.45018421856388,33.97562840872661,394,-7.525444190162731,-7.775793650793648,13.000160903711114,-15.175241425241431,0.1193959297407536,0.2538071065989847
private,add_a4.0_L24,gc_neutral,16.439992621839355,43.80292106381823,40.02699567120542,393,3.775925392612807,3.4483490365843323,12.621265475461543,-4.494134897360709,10.834154351395732,0.6081424936386769
private,add_cone_removed_a1.0,gc_up,22.79728403924384,51.18854325386021,41.27967564866709,392,9.908867605193118,9.825397813161992,13.076127204291629,3.318181818181825,16.956784636931697,0.826530612244898
private,add_cone_removed_a1.0,gc_down,15.213115639246295,27.00476032022865,33.97562840872661,394,-6.970868088497955,-7.546802054154991,11.405870322211689,-13.674239921545649,0.0969901566300666,0.2538071065989847
private,add_cone_removed_a1.0,gc_neutral,16.412442986940476,43.059009535800726,40.02699567120542,393,3.0320138645953145,3.0707070707070727,10.868695278356208,-3.333333333333333,9.523809523809526,0.6157760814249363
private,add_gc_removed_a1.0,gc_up,22.685540799234264,40.57541668654543,41.27967564866709,392,-0.7042589621216545,-0.5602240896358559,13.223019355452134,-6.743835874270658,6.389787707226918,0.4464285714285714
private,add_gc_removed_a1.0,gc_down,15.31198144401662,38.49176025133254,33.97562840872661,394,4.516131842605934,4.620879120879126,11.03932723119114,-2.187728937728939,10.446428571428571,0.6446700507614214
private,add_gc_removed_a1.0,gc_neutral,16.38213827978275,41.39747466052135,40.02699567120542,393,1.3704789893159257,0.4891774891774858,10.585794383022789,-4.901960784313729,7.095238095238095,0.5292620865139949
private,add_gc_removed_a1.0_L24,gc_up,22.68616893993778,40.011598353439695,41.27967564866709,392,-1.2680772952273915,-1.131636707818819,11.376033309805411,-6.853551531100831,5.012261586168821,0.4336734693877551
private,add_gc_removed_a1.0_L24,gc_down,15.316109239727332,36.99617094141822,33.97562840872661,394,3.0205425326916098,2.958028102669152,10.681437578679464,-3.271252727135078,8.481203007518802,0.6065989847715736
private,add_gc_removed_a1.0_L24,gc_neutral,16.41198299188249,41.24066017821531,40.02699567120542,393,1.2136645070098868,0.6060606060606091,9.87435312148504,-4.912968696250424,7.5,0.5165394402035624
private,add_own,gc_up,22.832860732232596,51.12327772244302,41.27967564866709,392,9.843602073775935,10.0,14.296681170344923,2.015151515151516,16.702675347412182,0.8086734693877551
private,add_own,gc_down,15.22317936111906,26.77720884567609,33.97562840872661,394,-7.198419563050523,-7.349450549450546,11.620278256955856,-13.333333333333334,0.0,0.2309644670050761
private,add_own,gc_neutral,16.41037045729257,43.87679617081662,40.02699567120542,393,3.849800499611198,2.579365079365082,10.805429466003986,-2.857142857142854,9.76943346508564,0.6030534351145038
private,add_own_L24,gc_up,22.763038061185046,43.04108680418585,41.27967564866709,392,1.761411155518772,1.6061306405088018,12.790053443262316,-3.876838235294123,8.64942528735632,0.5612244897959183
private,add_own_L24,gc_down,15.27662181481277,31.73110244393448,33.97562840872661,394,-2.2445259647921323,-2.1703296703296697,10.813598167480276,-8.127450980392156,4.101328903654482,0.4060913705583756
private,add_own_L24,gc_neutral,16.4573811517907,41.11654232987485,40.02699567120542,393,1.089546658669425,0.3809523809523796,10.37365421516584,-5.084279325765394,7.25204552790759,0.5165394402035624
private,cross_gene_a1.0,gc_up,22.82452889447236,50.396112429745976,41.27967564866709,392,9.11643678107889,8.896898042206967,14.781841617870109,2.613056586270874,15.879785247432304,0.8112244897959183
private,cross_gene_a1.0,gc_down,15.225858675104904,26.82797223795454,33.97562840872661,394,-7.147656170772067,-6.554771593976229,10.722923900996136,-13.64618146672792,0.0,0.2055837563451776
