layer,metric,family,rho
1,patristic tree,hox,0.7169311018179858
1,patristic tree,m14_carboxypeptidase,0.6920081875060935
1,patristic tree,matrix_metalloproteinase,0.6573016174619434
1,patristic tree,metallothionein,0.3334344447085289
1,patristic tree,muscarinic_receptor,0.7164361553877876
1,patristic tree,nadph_oxidase,0.757300546070731
1,patristic tree,nitric_oxide_synthase,0.8069198502530607
1,patristic tree,olfactory_receptors,0.6618666945058904
1,patristic tree,opsins,0.6693408335352632
1,patristic tree,p2y_receptor,0.7098190452437613
1,patristic tree,peroxidase,0.6504891172166837
1,patristic tree,peroxiredoxin,0.7420305208774363
1,patristic tree,phosphodiesterase,0.5854879591849399
1,patristic tree,rab_gtpase,0.5389164341461535
1,patristic tree,ras_gtpases,0.5398543772837278
1,patristic tree,rho_gtpase,0.5993526002377096
1,patristic tree,serine_protease,0.6543366558449815
1,patristic tree,serotonin_receptor,0.6945730035797761
1,patristic tree,steap_metalloreductase,0.5100474942936458
1,patristic tree,sulfotransferase,0.7160262269214105
1,patristic tree,taste2_receptor,0.7222495857058435
1,patristic tree,udp_glucuronosyltransferase,0.6782191664544606
1,species tree (mammal),adam_metallopeptidase,0.484707726898916
1,species tree (mammal),adamts_metallopeptidase,0.5049216818604245
1,species tree (mammal),adrenoceptor,0.6082660611468133
1,species tree (mammal),alcohol_dehydrogenase,0.2615181609834016
1,species tree (mammal),aldehyde_dehydrogenase,0.5596156006658033
1,species tree (mammal),aldo_keto_reductase,0.6977193157746143
1,species tree (mammal),alkaline_phosphatase,0.6317933872113437
1,species tree (mammal),arachidonate_lipoxygenase,0.5956430953301218
1,species tree (mammal),arf_gtpase,0.5048971304327672
1,species tree (mammal),carbonic_anhydrase,0.3952943640336153
1,species tree (mammal),cxc_chemokine_receptor,0.4498450143045506
1,species tree (mammal),cytochrome_p450,0.6264222072219222
1,species tree (mammal),dopamine_receptor,0.4641563320311852
1,species tree (mammal),ectonucleotide_pyrophosphatase,0.4805905016104404
1,species tree (mammal),ferritin,0.3174576187914679
1,species tree (mammal),flavin_monooxygenase,0.5907686155460329
1,species tree (mammal),globins,0.5211261534834645
1,species tree (mammal),glutamate_metabotropic,0.3608195662196095
1,species tree (mammal),glutaredoxin,0.4279310260913979
1,species tree (mammal),glutathione_peroxidase,0.4609684762500858
1,species tree (mammal),glutathione_s_transferase,0.3679396516616561
1,species tree (mammal),guanylate_binding_protein,0.4644927536231883
1,species tree (mammal),heme_oxygenase,0.3837341903379638
1,species tree (mammal),histamine_receptor,0.4458100235684585
1,species tree (mammal),histone_deacetylase_classI,0.5163651973746625
1,species tree (mammal),histone_h4,-0.0726867335562987
1,species tree (mammal),hox,0.6021303941567476
1,species tree (mammal),m14_carboxypeptidase,0.5100522419655951
1,species tree (mammal),matrix_metalloproteinase,0.5167941482621071
1,species tree (mammal),metallothionein,0.4982380074419761
1,species tree (mammal),muscarinic_receptor,0.6825665482830859
1,species tree (mammal),nadph_oxidase,0.5252438980340358
1,species tree (mammal),nitric_oxide_synthase,0.5531649751731033
1,species tree (mammal),olfactory_receptors,0.468681479812988
1,species tree (mammal),opsins,0.3588455827189641
1,species tree (mammal),p2y_receptor,0.4881758708556661
1,species tree (mammal),peroxidase,0.6746290333136721
1,species tree (mammal),peroxiredoxin,0.5650860215424656
1,species tree (mammal),phosphodiesterase,0.4922376407339228
1,species tree (mammal),rab_gtpase,0.4901330762142428
1,species tree (mammal),ras_gtpases,0.4402514913008015
1,species tree (mammal),rho_gtpase,0.5359727243325323
1,species tree (mammal),serine_protease,0.4815938652930197
1,species tree (mammal),serotonin_receptor,0.6208544501017459
1,species tree (mammal),steap_metalloreductase,0.5217131584956065
1,species tree (mammal),sulfotransferase,0.4997721019963613
1,species tree (mammal),taste2_receptor,0.530717830283184
1,species tree (mammal),udp_glucuronosyltransferase,0.4989638555146576
1,GC content (control),adam_metallopeptidase,0.609701422277022
1,GC content (control),adamts_metallopeptidase,0.725459056817441
1,GC content (control),adrenoceptor,0.7433388219664124
1,GC content (control),alcohol_dehydrogenase,0.4362712000172444
1,GC content (control),aldehyde_dehydrogenase,0.6497561634648413
1,GC content (control),aldo_keto_reductase,0.6895321291228163
1,GC content (control),alkaline_phosphatase,0.6346541442619863
1,GC content (control),arachidonate_lipoxygenase,0.7805451933265398
1,GC content (control),arf_gtpase,0.5901673137834904
1,GC content (control),carbonic_anhydrase,0.4343359092051457
1,GC content (control),cxc_chemokine_receptor,0.8266290428601358
1,GC content (control),cytochrome_p450,0.6642606424719919
1,GC content (control),dopamine_receptor,0.6655232189110791
1,GC content (control),ectonucleotide_pyrophosphatase,0.6932490062460499
1,GC content (control),ferritin,0.6561444951070056
1,GC content (control),flavin_monooxygenase,0.6704940421073855
1,GC content (control),globins,0.711086228720824
1,GC content (control),glutamate_metabotropic,0.597590202012773
1,GC content (control),glutaredoxin,0.5895397922636387
1,GC content (control),glutathione_peroxidase,0.6399615246891666
1,GC content (control),glutathione_s_transferase,0.4302526803064697
1,GC content (control),guanylate_binding_protein,0.6671884831224325
1,GC content (control),heme_oxygenase,0.6155122097957966
1,GC content (control),histamine_receptor,0.7388412671896872
1,GC content (control),histone_deacetylase_classI,0.5639944854817388
1,GC content (control),histone_h4,0.7622911239074407
1,GC content (control),hox,0.6283878501737945
1,GC content (control),m14_carboxypeptidase,0.6581263643546639
1,GC content (control),matrix_metalloproteinase,0.6435682401847791
1,GC content (control),metallothionein,0.3049094790639882
1,GC content (control),muscarinic_receptor,0.8528538110354844
1,GC content (control),nadph_oxidase,0.6070197471945094
1,GC content (control),nitric_oxide_synthase,0.7753838644141532
1,GC content (control),olfactory_receptors,0.5904212719574023
1,GC content (control),opsins,0.5588914748292285
1,GC content (control),p2y_receptor,0.6593281651495977
1,GC content (control),peroxidase,0.7637708507547007
1,GC content (control),peroxiredoxin,0.5688302077074173
