layer,condition,axis,family,rho
28,paired_p3_missense,between_family,,0.5540345213532237
29,natural,between_family,,1.0
29,gc_match,between_family,,0.6496799496725872
29,dinuc_shuffle,between_family,,0.6862225145275659
29,kmer4_shuffle,between_family,,0.6851763956861578
29,kmer6_shuffle,between_family,,0.6900061922677136
29,synonymous_recode,between_family,,0.892637112594276
29,missense_subset,between_family,,0.7391418641660503
29,paired_p3_syn,between_family,,0.8914622271585864
29,paired_p3_missense,between_family,,0.6934753236768785
30,natural,between_family,,1.0
30,gc_match,between_family,,0.6628861131252114
30,dinuc_shuffle,between_family,,0.7059851224710694
30,kmer4_shuffle,between_family,,0.7086245575628817
30,kmer6_shuffle,between_family,,0.7230396270519444
30,synonymous_recode,between_family,,0.904156994679827
30,missense_subset,between_family,,0.7993256446385466
30,paired_p3_syn,between_family,,0.9417223430366488
30,paired_p3_missense,between_family,,0.7732981961590216
31,natural,between_family,,1.0
31,gc_match,between_family,,0.6628861131252114
31,dinuc_shuffle,between_family,,0.7059851224710694
31,kmer4_shuffle,between_family,,0.7086245575628817
31,kmer6_shuffle,between_family,,0.7230396270519444
31,synonymous_recode,between_family,,0.904156994679827
31,missense_subset,between_family,,0.7993256446385466
31,paired_p3_syn,between_family,,0.9417223430366488
31,paired_p3_missense,between_family,,0.7732981961590216
0,natural,within_family,adam_metallopeptidase,1.0
0,natural,within_family,adamts_metallopeptidase,1.0
0,natural,within_family,adrenoceptor,1.0
0,natural,within_family,alcohol_dehydrogenase,1.0
0,natural,within_family,aldehyde_dehydrogenase,1.0
0,natural,within_family,aldo_keto_reductase,1.0
0,natural,within_family,alkaline_phosphatase,1.0
0,natural,within_family,arachidonate_lipoxygenase,1.0
0,natural,within_family,arf_gtpase,1.0
0,natural,within_family,carbonic_anhydrase,1.0
0,natural,within_family,cxc_chemokine_receptor,1.0
0,natural,within_family,cytochrome_p450,1.0
0,natural,within_family,dopamine_receptor,1.0
0,natural,within_family,ectonucleotide_pyrophosphatase,1.0
0,natural,within_family,ferritin,1.0
0,natural,within_family,flavin_monooxygenase,1.0
0,natural,within_family,globins,1.0
0,natural,within_family,glutamate_metabotropic,1.0
0,natural,within_family,glutaredoxin,1.0
0,natural,within_family,glutathione_peroxidase,1.0
0,natural,within_family,glutathione_s_transferase,1.0
0,natural,within_family,guanylate_binding_protein,1.0
0,natural,within_family,heme_oxygenase,1.0
0,natural,within_family,histamine_receptor,1.0
0,natural,within_family,histone_deacetylase_classI,1.0
0,natural,within_family,histone_h4,1.0
0,natural,within_family,hox,1.0
0,natural,within_family,m14_carboxypeptidase,1.0
0,natural,within_family,matrix_metalloproteinase,1.0
0,natural,within_family,metallothionein,1.0
0,natural,within_family,muscarinic_receptor,1.0
0,natural,within_family,nadph_oxidase,1.0
0,natural,within_family,nitric_oxide_synthase,1.0
0,natural,within_family,olfactory_receptors,1.0
0,natural,within_family,opsins,1.0
0,natural,within_family,p2y_receptor,1.0
0,natural,within_family,peroxidase,1.0
0,natural,within_family,peroxiredoxin,1.0
0,natural,within_family,phosphodiesterase,1.0
0,natural,within_family,rab_gtpase,1.0
0,natural,within_family,ras_gtpases,1.0
0,natural,within_family,rho_gtpase,1.0
0,natural,within_family,serine_protease,1.0
0,natural,within_family,serotonin_receptor,1.0
0,natural,within_family,steap_metalloreductase,1.0
0,natural,within_family,sulfotransferase,1.0
0,natural,within_family,taste2_receptor,1.0
0,natural,within_family,udp_glucuronosyltransferase,1.0
0,gc_match,within_family,adam_metallopeptidase,0.4429204600466191
0,gc_match,within_family,adamts_metallopeptidase,0.473305920879189
0,gc_match,within_family,adrenoceptor,0.4849525348750598
0,gc_match,within_family,alcohol_dehydrogenase,0.0076741440377803
0,gc_match,within_family,aldehyde_dehydrogenase,0.3660584811815149
0,gc_match,within_family,aldo_keto_reductase,0.2457948474671796
0,gc_match,within_family,alkaline_phosphatase,0.2840557275541795
0,gc_match,within_family,arachidonate_lipoxygenase,0.5754127349307846
0,gc_match,within_family,arf_gtpase,0.158912124427121
0,gc_match,within_family,carbonic_anhydrase,0.0640722843503281
0,gc_match,within_family,cxc_chemokine_receptor,0.4398573179579974
0,gc_match,within_family,cytochrome_p450,0.3504034398973014
0,gc_match,within_family,dopamine_receptor,0.4038012598760124
0,gc_match,within_family,ectonucleotide_pyrophosphatase,0.4530322397228718
0,gc_match,within_family,ferritin,0.311220686621756
0,gc_match,within_family,flavin_monooxygenase,0.3251177708189144
0,gc_match,within_family,globins,0.4013718845449778
0,gc_match,within_family,glutamate_metabotropic,0.2303762254841952
0,gc_match,within_family,glutaredoxin,0.3411317370516319
0,gc_match,within_family,glutathione_peroxidase,0.3763385059134854
0,gc_match,within_family,glutathione_s_transferase,0.2191791454833216
0,gc_match,within_family,guanylate_binding_protein,0.3351119894598155
0,gc_match,within_family,heme_oxygenase,0.1062098279079411
0,gc_match,within_family,histamine_receptor,0.5649215945872005
0,gc_match,within_family,histone_deacetylase_classI,0.2814504533887967
0,gc_match,within_family,histone_h4,0.4183627966236662
0,gc_match,within_family,hox,0.1565455748116392
0,gc_match,within_family,m14_carboxypeptidase,0.3235407952611293
0,gc_match,within_family,matrix_metalloproteinase,0.3814241304411324
0,gc_match,within_family,metallothionein,0.0146309930088886
0,gc_match,within_family,muscarinic_receptor,0.5059179460229025
0,gc_match,within_family,nadph_oxidase,0.3274557085276644
0,gc_match,within_family,nitric_oxide_synthase,0.4842859959725684
0,gc_match,within_family,olfactory_receptors,0.2284592718656849
0,gc_match,within_family,opsins,0.2893520195648812
0,gc_match,within_family,p2y_receptor,0.1896940640572358
0,gc_match,within_family,peroxidase,0.4694480198069327
0,gc_match,within_family,peroxiredoxin,0.2681766124192475
0,gc_match,within_family,phosphodiesterase,0.3111716728180571
0,gc_match,within_family,rab_gtpase,0.2347279410666547
0,gc_match,within_family,ras_gtpases,0.1706779183956544
0,gc_match,within_family,rho_gtpase,0.236849500387219
0,gc_match,within_family,serine_protease,0.3035148987282305
0,gc_match,within_family,serotonin_receptor,0.2420730548851383
0,gc_match,within_family,steap_metalloreductase,0.379983694423392
0,gc_match,within_family,sulfotransferase,0.3407583545686439
0,gc_match,within_family,taste2_receptor,0.3822225185504844
0,gc_match,within_family,udp_glucuronosyltransferase,0.3302771797424204
0,dinuc_shuffle,within_family,adam_metallopeptidase,0.4978082885575224
0,dinuc_shuffle,within_family,adamts_metallopeptidase,0.6269842640947617
0,dinuc_shuffle,within_family,adrenoceptor,0.7201504222130898
0,dinuc_shuffle,within_family,alcohol_dehydrogenase,-0.0331342454337106
0,dinuc_shuffle,within_family,aldehyde_dehydrogenase,0.5662176295985448
0,dinuc_shuffle,within_family,aldo_keto_reductase,0.4400871448376526
0,dinuc_shuffle,within_family,alkaline_phosphatase,0.3224304075697264
0,dinuc_shuffle,within_family,arachidonate_lipoxygenase,0.6140622691749696
0,dinuc_shuffle,within_family,arf_gtpase,0.3811231885460727
0,dinuc_shuffle,within_family,carbonic_anhydrase,0.3168744612305349
0,dinuc_shuffle,within_family,cxc_chemokine_receptor,0.6786527898936888
0,dinuc_shuffle,within_family,cytochrome_p450,0.5311786718241839
0,dinuc_shuffle,within_family,dopamine_receptor,0.524499291219289
0,dinuc_shuffle,within_family,ectonucleotide_pyrophosphatase,0.6014256510312769
0,dinuc_shuffle,within_family,ferritin,0.513722470662717
0,dinuc_shuffle,within_family,flavin_monooxygenase,0.3529244908543308
0,dinuc_shuffle,within_family,globins,0.702132908118929
0,dinuc_shuffle,within_family,glutamate_metabotropic,0.4363793699114079
0,dinuc_shuffle,within_family,glutaredoxin,0.5386869742852096
0,dinuc_shuffle,within_family,glutathione_peroxidase,0.4803087141829037
0,dinuc_shuffle,within_family,glutathione_s_transferase,0.3122821823905098
0,dinuc_shuffle,within_family,guanylate_binding_protein,0.4789855072463768
0,dinuc_shuffle,within_family,heme_oxygenase,0.6462471490773377
0,dinuc_shuffle,within_family,histamine_receptor,0.5722135841758961
0,dinuc_shuffle,within_family,histone_deacetylase_classI,0.4620438824262062
0,dinuc_shuffle,within_family,histone_h4,0.5663799968147795
0,dinuc_shuffle,within_family,hox,0.4047761195233504
0,dinuc_shuffle,within_family,m14_carboxypeptidase,0.5009727964313356
0,dinuc_shuffle,within_family,matrix_metalloproteinase,0.5269715820175671
0,dinuc_shuffle,within_family,metallothionein,0.1813573787464164
0,dinuc_shuffle,within_family,muscarinic_receptor,0.6411016382053576
0,dinuc_shuffle,within_family,nadph_oxidase,0.4152864902623121
0,dinuc_shuffle,within_family,nitric_oxide_synthase,0.6880129746367046
0,dinuc_shuffle,within_family,olfactory_receptors,0.4038488703553456
0,dinuc_shuffle,within_family,opsins,0.4533407265460574
0,dinuc_shuffle,within_family,p2y_receptor,0.4874049155224785
0,dinuc_shuffle,within_family,peroxidase,0.7579081860718934
0,dinuc_shuffle,within_family,peroxiredoxin,0.3620054590156118
0,dinuc_shuffle,within_family,phosphodiesterase,0.4126216885475012
0,dinuc_shuffle,within_family,rab_gtpase,0.4033477946956075
0,dinuc_shuffle,within_family,ras_gtpases,0.3619696182795549
0,dinuc_shuffle,within_family,rho_gtpase,0.4265746563660745
0,dinuc_shuffle,within_family,serine_protease,0.5158991391504003
0,dinuc_shuffle,within_family,serotonin_receptor,0.5017141308979352
0,dinuc_shuffle,within_family,steap_metalloreductase,0.604805621178418
0,dinuc_shuffle,within_family,sulfotransferase,0.4194455275288727
0,dinuc_shuffle,within_family,taste2_receptor,0.4351970595917472
0,dinuc_shuffle,within_family,udp_glucuronosyltransferase,0.4478289387380296
0,kmer4_shuffle,within_family,adam_metallopeptidase,0.5825633228236716
0,kmer4_shuffle,within_family,adamts_metallopeptidase,0.6230743045283994
0,kmer4_shuffle,within_family,adrenoceptor,0.7071310793627056
0,kmer4_shuffle,within_family,alcohol_dehydrogenase,0.3273005069796513
0,kmer4_shuffle,within_family,aldehyde_dehydrogenase,0.5488023536947698
0,kmer4_shuffle,within_family,aldo_keto_reductase,0.4728147456596705
0,kmer4_shuffle,within_family,alkaline_phosphatase,0.5986557302346776
0,kmer4_shuffle,within_family,arachidonate_lipoxygenase,0.7021987445022817
0,kmer4_shuffle,within_family,arf_gtpase,0.4246170263818021
0,kmer4_shuffle,within_family,carbonic_anhydrase,0.3481719705131281
0,kmer4_shuffle,within_family,cxc_chemokine_receptor,0.5766477453620805
0,kmer4_shuffle,within_family,cytochrome_p450,0.5580615390355167
0,kmer4_shuffle,within_family,dopamine_receptor,0.6272873939900989
0,kmer4_shuffle,within_family,ectonucleotide_pyrophosphatase,0.5915552667069585
0,kmer4_shuffle,within_family,ferritin,0.5158322186222674
0,kmer4_shuffle,within_family,flavin_monooxygenase,0.3293778637488254
0,kmer4_shuffle,within_family,globins,0.6127418796393047
0,kmer4_shuffle,within_family,glutamate_metabotropic,0.4460518522622391
0,kmer4_shuffle,within_family,glutaredoxin,0.5694383796851314
0,kmer4_shuffle,within_family,glutathione_peroxidase,0.45790824231349
0,kmer4_shuffle,within_family,glutathione_s_transferase,0.4065830608848335
