layer,family_a,family_b,cos
19,arf_gtpase,ras_gtpases,0.8294262113474516
19,arf_gtpase,rho_gtpase,0.9885871518688246
19,cytochrome_p450,hox,0.35833447279611613
19,cytochrome_p450,rab_gtpase,-0.01386609689864953
19,cytochrome_p450,ras_gtpases,0.13557099751174545
19,cytochrome_p450,rho_gtpase,-0.07551001423627615
19,hox,rab_gtpase,-0.47492591471389506
19,hox,ras_gtpases,-0.2648000960914212
19,hox,rho_gtpase,-0.554260814416731
19,rab_gtpase,ras_gtpases,0.8666620513963869
19,rab_gtpase,rho_gtpase,0.9623233089708556
19,ras_gtpases,rho_gtpase,0.8514684991711405
20,arf_gtpase,cytochrome_p450,-0.14872311705258073
20,arf_gtpase,hox,-0.5995040370751565
20,arf_gtpase,rab_gtpase,0.9407889942078901
20,arf_gtpase,ras_gtpases,0.7572791696932009
20,arf_gtpase,rho_gtpase,0.9852721249851774
20,cytochrome_p450,hox,0.4020589220081709
20,cytochrome_p450,rab_gtpase,0.0023873318803107075
20,cytochrome_p450,ras_gtpases,0.19483508344094105
20,cytochrome_p450,rho_gtpase,-0.0853684106992446
20,hox,rab_gtpase,-0.4138120547891282
20,hox,ras_gtpases,-0.13905834920722954
20,hox,rho_gtpase,-0.5322249678692711
20,rab_gtpase,ras_gtpases,0.8293170082977857
20,rab_gtpase,rho_gtpase,0.9459228354248469
20,ras_gtpases,rho_gtpase,0.7915058790309625
21,arf_gtpase,cytochrome_p450,-0.08875050942795547
21,arf_gtpase,hox,-0.5533949858196217
21,arf_gtpase,rab_gtpase,0.926391187251248
21,arf_gtpase,ras_gtpases,0.7251958772890523
21,arf_gtpase,rho_gtpase,0.984569963746521
21,cytochrome_p450,hox,0.38918575941662953
21,cytochrome_p450,rab_gtpase,0.09071031078030822
21,cytochrome_p450,ras_gtpases,0.2912942303048276
21,cytochrome_p450,rho_gtpase,-0.023189795701802535
21,hox,rab_gtpase,-0.33519274793395865
21,hox,ras_gtpases,-0.05192052756104471
21,hox,rho_gtpase,-0.48895634812346966
21,rab_gtpase,ras_gtpases,0.8242781435721752
21,rab_gtpase,rho_gtpase,0.93031520337542
21,ras_gtpases,rho_gtpase,0.7595775309195103
22,arf_gtpase,cytochrome_p450,0.04268068165594081
22,arf_gtpase,hox,-0.4058049831822972
22,arf_gtpase,rab_gtpase,0.8998045505465557
22,arf_gtpase,ras_gtpases,0.6554956806897293
22,arf_gtpase,rho_gtpase,0.977249335083921
22,cytochrome_p450,hox,0.4361562203401829
22,cytochrome_p450,rab_gtpase,0.29053398959993315
22,cytochrome_p450,ras_gtpases,0.49686960657985824
22,cytochrome_p450,rho_gtpase,0.1400120780835296
22,hox,rab_gtpase,-0.10655603328856218
22,hox,ras_gtpases,0.19760231534656122
22,hox,rho_gtpase,-0.29925235979720954
22,rab_gtpase,ras_gtpases,0.8287106994442766
22,rab_gtpase,rho_gtpase,0.9199727844881468
22,ras_gtpases,rho_gtpase,0.7225064747788298
23,arf_gtpase,cytochrome_p450,0.2081290110337742
23,arf_gtpase,hox,-0.16994161227998084
23,arf_gtpase,rab_gtpase,0.8763292566786304
23,arf_gtpase,ras_gtpases,0.6327478423127603
23,arf_gtpase,rho_gtpase,0.9629979715988309
23,cytochrome_p450,hox,0.5146776687825334
23,cytochrome_p450,rab_gtpase,0.49426771287936827
23,cytochrome_p450,ras_gtpases,0.6420706442209473
23,cytochrome_p450,rho_gtpase,0.3441193407151002
23,hox,rab_gtpase,0.1587995380743571
23,hox,ras_gtpases,0.4026242184293238
23,hox,rho_gtpase,-0.014836098768872055
23,rab_gtpase,ras_gtpases,0.8391881188380022
23,rab_gtpase,rho_gtpase,0.9110869782433103
23,ras_gtpases,rho_gtpase,0.7215380260469844
24,arf_gtpase,cytochrome_p450,0.5793329297805774
24,arf_gtpase,hox,0.30727659821368947
24,arf_gtpase,rab_gtpase,0.7920214556003489
24,arf_gtpase,ras_gtpases,0.6988850423494033
24,arf_gtpase,rho_gtpase,0.8485565074802286
24,cytochrome_p450,hox,0.6963067776442594
24,cytochrome_p450,rab_gtpase,0.7848093470791343
24,cytochrome_p450,ras_gtpases,0.8138161373552517
24,cytochrome_p450,rho_gtpase,0.7087110981439695
24,hox,rab_gtpase,0.6799505646734643
24,hox,ras_gtpases,0.737144794322188
24,hox,rho_gtpase,0.5971646764161508
24,rab_gtpase,ras_gtpases,0.8864235107608524
24,rab_gtpase,rho_gtpase,0.8627488318523702
24,ras_gtpases,rho_gtpase,0.8049563674150295
25,arf_gtpase,cytochrome_p450,0.6640407561543863
25,arf_gtpase,hox,0.45207074964604804
25,arf_gtpase,rab_gtpase,0.8444099700003861
25,arf_gtpase,ras_gtpases,0.7685093159755338
25,arf_gtpase,rho_gtpase,0.872656692519605
25,cytochrome_p450,hox,0.7268703980178345
25,cytochrome_p450,rab_gtpase,0.810212787623229
25,cytochrome_p450,ras_gtpases,0.8395566914587805
25,cytochrome_p450,rho_gtpase,0.7691318225869239
25,hox,rab_gtpase,0.7189366304955911
25,hox,ras_gtpases,0.7735538722838499
25,hox,rho_gtpase,0.6821223390575211
25,rab_gtpase,ras_gtpases,0.9011120322304389
25,rab_gtpase,rho_gtpase,0.8928644173462768
25,ras_gtpases,rho_gtpase,0.8473728359921515
26,arf_gtpase,cytochrome_p450,0.7830365724013825
26,arf_gtpase,hox,0.6663891007158538
26,arf_gtpase,rab_gtpase,0.9185627088646814
26,arf_gtpase,ras_gtpases,0.8724530745534979
26,arf_gtpase,rho_gtpase,0.926384273348633
26,cytochrome_p450,hox,0.7909386844619787
26,cytochrome_p450,rab_gtpase,0.857197316751088
26,cytochrome_p450,ras_gtpases,0.8784882283829395
26,cytochrome_p450,rho_gtpase,0.8440579644132307
26,hox,rab_gtpase,0.810980894045242
26,hox,ras_gtpases,0.8595042723843059
26,hox,rho_gtpase,0.8140166348831489
26,rab_gtpase,ras_gtpases,0.9350944229180206
26,rab_gtpase,rho_gtpase,0.9526672582911913
26,ras_gtpases,rho_gtpase,0.9243274497902144
27,arf_gtpase,cytochrome_p450,0.8042822289378934
27,arf_gtpase,hox,0.713207848930694
27,arf_gtpase,rab_gtpase,0.9548174538180068
27,arf_gtpase,ras_gtpases,0.9069589478524972
27,arf_gtpase,rho_gtpase,0.9507523812416319
27,cytochrome_p450,hox,0.8234485750697879
27,cytochrome_p450,rab_gtpase,0.8775965117200049
27,cytochrome_p450,ras_gtpases,0.8882107886017669
27,cytochrome_p450,rho_gtpase,0.8656985988679108
27,hox,rab_gtpase,0.8125643154483322
27,hox,ras_gtpases,0.860410272982772
27,hox,rho_gtpase,0.8269581125464419
27,rab_gtpase,ras_gtpases,0.9464283005128437
27,rab_gtpase,rho_gtpase,0.9738080252666195
27,ras_gtpases,rho_gtpase,0.9446300933147846
28,arf_gtpase,cytochrome_p450,0.9054836494924898
28,arf_gtpase,hox,0.7956832141116098
28,arf_gtpase,rab_gtpase,0.9193207849711094
28,arf_gtpase,ras_gtpases,0.9306581574676241
28,arf_gtpase,rho_gtpase,0.9211721109027284
28,cytochrome_p450,hox,0.9388982507541817
28,cytochrome_p450,rab_gtpase,0.9453429685502736
28,cytochrome_p450,ras_gtpases,0.9615771991522775
28,cytochrome_p450,rho_gtpase,0.9350226824656025
28,hox,rab_gtpase,0.9102124845343031
28,hox,ras_gtpases,0.9252735739170649
28,hox,rho_gtpase,0.8917646378792187
28,rab_gtpase,ras_gtpases,0.9860019717301097
28,rab_gtpase,rho_gtpase,0.96251207672468
28,ras_gtpases,rho_gtpase,0.9833896349983637
29,arf_gtpase,cytochrome_p450,0.8000759095857898
