condition,family,rho_angular_vs_natural,rho_angular_speciestree,written_at,generator
dinuc_shuffle,glutathione_s_transferase,0.1570485279976937,0.10318652729059909,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,guanylate_binding_protein,0.3718050065876153,0.29051383399209485,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,heme_oxygenase,0.5622123159859008,0.27513995438523736,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,histamine_receptor,0.43894550890793654,0.14838016159788336,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,histone_deacetylase_classI,0.5142863040596518,0.24325500285226148,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,histone_h4,0.2559643255295429,0.01677018633540373,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,hox,0.27155756066279635,0.1132634605912309,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,m14_carboxypeptidase,0.5374915066555945,0.3074166195294197,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,matrix_metalloproteinase,0.46993228638011597,0.2958240376272538,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,metallothionein,0.3256320635566302,0.005539011877544065,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,muscarinic_receptor,0.24796457045938256,0.10188727054997311,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,nadph_oxidase,0.7732860815820767,0.1088019626074425,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,nitric_oxide_synthase,0.3018326227449651,0.06680771880300809,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,olfactory_receptors,0.059589380558687656,0.017679409798261256,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,opsins,0.4161516280603584,0.15922942723240033,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,p2y_receptor,0.2524324197813228,0.018216408201376242,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,peroxidase,0.7409876627123533,0.2801267292446822,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,peroxiredoxin,0.45232837486143396,0.3155211274422317,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,phosphodiesterase,0.621347028361932,0.2730227066603861,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,rab_gtpase,0.38566321760290156,0.22015718352802388,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,ras_gtpases,0.27680059814584623,0.16375456295933635,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,rho_gtpase,0.3589167208600197,0.16549750825786483,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,serine_protease,0.3447510325998422,0.23418477125432446,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,serotonin_receptor,0.34528052086383976,0.18666080315858233,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,steap_metalloreductase,0.5069279651773332,0.17702028167344153,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,sulfotransferase,0.4525764711432085,0.20768011935028147,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,taste2_receptor,-0.07769462101394893,-0.03379486393713115,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,udp_glucuronosyltransferase,0.71979091912247,0.47052110100238453,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,adam_metallopeptidase,0.5631550720857661,0.22505139239357974,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,adamts_metallopeptidase,0.6326011566815221,0.20264183534099808,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,adrenoceptor,0.19282682124745987,0.1614226916359015,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,alcohol_dehydrogenase,0.6428015834432946,0.1753177303979443,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,aldehyde_dehydrogenase,0.6044393010805313,0.2572256413217319,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,aldo_keto_reductase,0.5753282384644637,0.27033870800551263,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,alkaline_phosphatase,0.8050808840282523,0.26822738664843926,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,arachidonate_lipoxygenase,0.4548527172863297,0.3029943106367816,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,arf_gtpase,0.3306620788948409,0.1992486406548187,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,carbonic_anhydrase,0.4813569864423611,0.2460457492188794,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,cxc_chemokine_receptor,0.09037285031749909,0.21915867203652653,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,cytochrome_p450,0.5113351038088101,0.2707740700366299,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,dopamine_receptor,0.31285515574658324,0.22012587180218518,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,ectonucleotide_pyrophosphatase,0.5216514585034154,0.26640986502269426,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,ferritin,0.485813678687429,0.301909250944359,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,flavin_monooxygenase,0.5666593437998042,0.2430862044052245,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,globins,0.5082227085707798,0.16984374933577637,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,glutamate_metabotropic,0.4561676011071689,0.07049720911291604,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,glutaredoxin,0.43912251714598616,0.1339799357354935,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,glutathione_peroxidase,0.14208866825879266,0.11591684977518277,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,glutathione_s_transferase,0.19137881684578387,0.17188582398606375,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,guanylate_binding_protein,0.2981554677206851,0.17233201581027668,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,heme_oxygenase,0.5504043126684636,0.26401617250673853,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,histamine_receptor,0.4139714418652614,0.14922238618530592,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,histone_deacetylase_classI,0.4452510460739286,0.19059807849808258,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,histone_h4,0.449132027392897,-0.11411052715400542,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,hox,0.25812805405295747,0.1279299819931933,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,m14_carboxypeptidase,0.5192048406975733,0.26740372572527193,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,matrix_metalloproteinase,0.4676718886599029,0.2751973409324924,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,metallothionein,-0.028333444353196527,0.025849771132594342,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,muscarinic_receptor,0.36159047274060446,0.3002882587566122,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,nadph_oxidase,0.7720965229588552,0.07540186354524897,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,nitric_oxide_synthase,0.4030370061195416,0.18451800118406733,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,olfactory_receptors,0.04041636835596719,0.0384584659257098,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,opsins,0.40157899619430976,0.13668493287194616,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,p2y_receptor,0.15794074406450997,-0.01595145873680989,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,peroxidase,0.7047809915134527,0.28600721166440274,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,peroxiredoxin,0.3598373212675975,0.31059779989519465,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,phosphodiesterase,0.6030504534694485,0.24445689395918457,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,rab_gtpase,0.438570023775128,0.21201415450980654,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,ras_gtpases,0.2593917264585109,0.15517334490130066,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,rho_gtpase,0.3389445139716487,0.179981240925544,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,serine_protease,0.3457388304118965,0.23426594051868327,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,serotonin_receptor,0.2911481497764602,0.15273231282679206,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,steap_metalloreductase,0.30540450589455514,0.2911134460874795,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,sulfotransferase,0.521940830966851,0.26691151456834,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,taste2_receptor,0.05305804059288132,0.03324874420505177,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer4_shuffle,udp_glucuronosyltransferase,0.6109600589547114,0.3306743909685086,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,adam_metallopeptidase,0.606553908716403,0.22068496419919217,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,adamts_metallopeptidase,0.6456650650995422,0.2023464223310456,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,adrenoceptor,0.21841268419574827,0.2066675281575085,2026-08-31,mammal_controls_score:transcript_cdsmask
kmer6_shuffle,alcohol_dehydrogenase,0.7087436627543579,0.014438502673796788,2026-08-31,mammal_controls_score:transcript_cdsmask
